,id,item,category_id,category,round,listnum
66,7,Tiger,1,animals,2,1
67,7,leopard,1,animals,2,1
68,7,cheetah,1,animals,2,1
69,7,lion,1,animals,2,1
70,7,lizard,1,animals,2,1
71,7,bat,1,animals,2,1
72,7,snake,1,animals,2,1
73,7,[unclear],1,animals,2,1
74,7,penguin,1,animals,2,1
75,7,dinosaur,1,animals,2,1
76,7,mouse,1,animals,2,1
77,7,Beaver,1,animals,2,1
78,7,ant,1,animals,2,1
79,7,caterpillar,1,animals,2,1
80,7,butterfly,1,animals,2,1
118,7,[unclear],1,animals,4,2
119,7,human,1,animals,4,2
120,7,person,1,animals,4,2
121,7,cheetah,1,animals,4,2
122,7,leopard,1,animals,4,2
123,7,lion,1,animals,4,2
124,7,snake,1,animals,4,2
125,7,jaguar,1,animals,4,2
126,7,cat,1,animals,4,2
127,7,dog,1,animals,4,2
128,7,moose,1,animals,4,2
129,7,cow,1,animals,4,2
130,7,chicken,1,animals,4,2
131,7,turkey,1,animals,4,2
132,7,bee,1,animals,4,2
133,7,bat,1,animals,4,2
134,7,snake,1,animals,4,2
135,7,crocodile,1,animals,4,2
136,7,pineapple,1,animals,4,2
137,7,animals,1,animals,4,2
138,7,Caterpillar,1,animals,4,2
139,7,butterfly,1,animals,4,2
140,7,chrysalis,1,animals,4,2
141,7,egg,1,animals,4,2
142,7,bird,1,animals,4,2
13,8,Horses,1,animals,1,3
14,8,zebras,1,animals,1,3
15,8,zebras,1,animals,1,3
16,8,Crocodiles,1,animals,1,3
17,8,Horse,1,animals,1,3
18,8,Fox,1,animals,1,3
19,8,Turtles,1,animals,1,3
20,8,Seals,1,animals,1,3
21,8,Cars,1,animals,1,3
22,8,seals,1,animals,1,3
23,8,Zebras,1,animals,1,3
24,8,Crocodiles,1,animals,1,3
77,8,Zebras,1,animals,3,4
78,8,Sharks,1,animals,3,4
79,8,Turtle,1,animals,3,4
80,8,Seals,1,animals,3,4
81,8,Turtle,1,animals,3,4
82,8,bear,1,animals,3,4
83,8,horse,1,animals,3,4
84,8,Food,1,animals,3,4
85,8,Food,1,animals,3,4
86,8,dog,1,animals,3,4
7,9,Dog,1,animals,1,5
8,9,cat,1,animals,1,5
9,9,fish,1,animals,1,5
10,9,panda,1,animals,1,5
11,9,bear,1,animals,1,5
12,9,koala,1,animals,1,5
13,9,mouse,1,animals,1,5
14,9,hamster,1,animals,1,5
15,9,chimp,1,animals,1,5
16,9,Gorilla,1,animals,1,5
17,9,Parrot,1,animals,1,5
85,9,Hummingbird,1,animals,3,6
86,9,parrot,1,animals,3,6
87,9,Robin,1,animals,3,6
88,9,Panda,1,animals,3,6
89,9,dinosaur,1,animals,3,6
90,9,chimpanzee,1,animals,3,6
91,9,Gorilla,1,animals,3,6
92,9,Monkey,1,animals,3,6
93,9,Parrot,1,animals,3,6
94,9,doggy,1,animals,3,6
95,9,kitty,1,animals,3,6
96,9,Turtle,1,animals,3,6
97,9,Shark,1,animals,3,6
98,9,Fish,1,animals,3,6
99,9,hamster,1,animals,3,6
100,9,mouse,1,animals,3,6
101,9,Peacock,1,animals,3,6
102,9,goat,1,animals,3,6
103,9,turtle,1,animals,3,6
0,10,zebra,1,animals,1,7
1,10,tiger,1,animals,1,7
2,10,cheetah,1,animals,1,7
3,10,elephant,1,animals,1,7
4,10,Cheetah,1,animals,1,7
5,10,cheetah,1,animals,1,7
6,10,mouse,1,animals,1,7
7,10,bear,1,animals,1,7
8,10,goat,1,animals,1,7
9,10,dog,1,animals,1,7
10,10,cat,1,animals,1,7
11,10,Chicken,1,animals,1,7
62,10,Cheetah,1,animals,3,8
63,10,Lion,1,animals,3,8
64,10,Tiger,1,animals,3,8
65,10,Frog,1,animals,3,8
66,10,Alligator,1,animals,3,8
67,10,Crocodile,1,animals,3,8
68,10,Frog,1,animals,3,8
69,10,Monkey,1,animals,3,8
70,10,Elephant,1,animals,3,8
71,10,pig,1,animals,3,8
72,10,zebra,1,animals,3,8
73,10,Chicken,1,animals,3,8
74,10,baby pigs,1,animals,3,8
75,10,Biscuits,1,animals,3,8
76,10,baby horse,1,animals,3,8
77,10,baby lion,1,animals,3,8
14,11,Tiger,1,animals,1,9
15,11,Lion,1,animals,1,9
16,11,Dog,1,animals,1,9
17,11,Cat,1,animals,1,9
18,11,Fish,1,animals,1,9
19,11,Salmon,1,animals,1,9
20,11,Leopard,1,animals,1,9
21,11,Good,1,animals,1,9
22,11,Cheetah,1,animals,1,9
23,11,Lion,1,animals,1,9
24,11,Nice,1,animals,1,9
25,11,Cat,1,animals,1,9
26,11,Dog,1,animals,1,9
27,11,Hamster,1,animals,1,9
28,11,Mouse,1,animals,1,9
29,11,Rat,1,animals,1,9
62,11,leopard,1,animals,3,10
63,11,lion,1,animals,3,10
64,11,Fish,1,animals,3,10
65,11,Overflowing fish,1,animals,3,10
66,11,Rattle fish,1,animals,3,10
67,11,Goldfish,1,animals,3,10
68,11,Dog,1,animals,3,10
69,11,cat,1,animals,3,10
70,11,leopard,1,animals,3,10
71,11,lion,1,animals,3,10
72,11,cheetah,1,animals,3,10
73,11,penguin,1,animals,3,10
74,11,chicken,1,animals,3,10
75,11,cow,1,animals,3,10
76,11,flamingo,1,animals,3,10
77,11,elephant,1,animals,3,10
78,11,giraffe,1,animals,3,10
79,11,flamingo,1,animals,3,10
80,11,[unclear],1,animals,3,10
81,11,monkey,1,animals,3,10
82,11,birds,1,animals,3,10
13,12,Cow,1,animals,1,11
14,12,Chicks,1,animals,1,11
15,12,Hen,1,animals,1,11
16,12,Sheep,1,animals,1,11
17,12,Chicken,1,animals,1,11
34,12,Giraffe,1,animals,3,12
35,12,Alligator,1,animals,3,12
36,12,Elephant,1,animals,3,12
37,12,Monkey,1,animals,3,12
38,12,ostrich,1,animals,3,12
