,item,id,category_id,category,round,listnum
0,tiger,7,1,animals,2,1
1,leopard,7,1,animals,2,1
2,cheetah,7,1,animals,2,1
3,lion,7,1,animals,2,1
4,lizard,7,1,animals,2,1
5,bat,7,1,animals,2,1
6,snake,7,1,animals,2,1
7,penguin,7,1,animals,2,1
8,dinosaur,7,1,animals,2,1
9,mouse,7,1,animals,2,1
10,beaver,7,1,animals,2,1
11,ant,7,1,animals,2,1
12,caterpillar,7,1,animals,2,1
13,butterfly,7,1,animals,2,1
14,human,7,1,animals,4,2
15,person,7,1,animals,4,2
16,cheetah,7,1,animals,4,2
17,leopard,7,1,animals,4,2
18,lion,7,1,animals,4,2
19,snake,7,1,animals,4,2
20,jaguar,7,1,animals,4,2
21,cat,7,1,animals,4,2
22,dog,7,1,animals,4,2
23,moose,7,1,animals,4,2
24,cow,7,1,animals,4,2
25,chicken,7,1,animals,4,2
26,turkey,7,1,animals,4,2
27,bee,7,1,animals,4,2
28,bat,7,1,animals,4,2
29,snake,7,1,animals,4,2
30,crocodile,7,1,animals,4,2
31,pineapple,7,1,animals,4,2
32,animal,7,1,animals,4,2
33,caterpillar,7,1,animals,4,2
34,butterfly,7,1,animals,4,2
35,chrysali,7,1,animals,4,2
36,egg,7,1,animals,4,2
37,bird,7,1,animals,4,2
38,horse,8,1,animals,1,3
39,zebra,8,1,animals,1,3
40,zebra,8,1,animals,1,3
41,crocodile,8,1,animals,1,3
42,horse,8,1,animals,1,3
43,fox,8,1,animals,1,3
44,turtle,8,1,animals,1,3
45,seal,8,1,animals,1,3
46,car,8,1,animals,1,3
47,seal,8,1,animals,1,3
48,zebra,8,1,animals,1,3
49,crocodile,8,1,animals,1,3
50,zebra,8,1,animals,3,4
51,shark,8,1,animals,3,4
52,turtle,8,1,animals,3,4
53,seal,8,1,animals,3,4
54,turtle,8,1,animals,3,4
55,bear,8,1,animals,3,4
56,horse,8,1,animals,3,4
57,food,8,1,animals,3,4
58,food,8,1,animals,3,4
59,dog,8,1,animals,3,4
60,dog,9,1,animals,1,5
61,cat,9,1,animals,1,5
62,fish,9,1,animals,1,5
63,panda,9,1,animals,1,5
64,bear,9,1,animals,1,5
65,koala,9,1,animals,1,5
66,mouse,9,1,animals,1,5
67,hamster,9,1,animals,1,5
68,chimp,9,1,animals,1,5
69,gorilla,9,1,animals,1,5
70,parrot,9,1,animals,1,5
71,hummingbird,9,1,animals,3,6
72,parrot,9,1,animals,3,6
73,robin,9,1,animals,3,6
74,panda,9,1,animals,3,6
75,dinosaur,9,1,animals,3,6
76,chimpanzee,9,1,animals,3,6
77,gorilla,9,1,animals,3,6
78,monkey,9,1,animals,3,6
79,parrot,9,1,animals,3,6
80,doggy,9,1,animals,3,6
81,kitty,9,1,animals,3,6
82,turtle,9,1,animals,3,6
83,shark,9,1,animals,3,6
84,fish,9,1,animals,3,6
85,hamster,9,1,animals,3,6
86,mouse,9,1,animals,3,6
87,peacock,9,1,animals,3,6
88,goat,9,1,animals,3,6
89,turtle,9,1,animals,3,6
90,zebra,10,1,animals,1,7
91,tiger,10,1,animals,1,7
92,cheetah,10,1,animals,1,7
93,elephant,10,1,animals,1,7
94,cheetah,10,1,animals,1,7
95,cheetah,10,1,animals,1,7
96,mouse,10,1,animals,1,7
97,bear,10,1,animals,1,7
98,goat,10,1,animals,1,7
99,dog,10,1,animals,1,7
100,cat,10,1,animals,1,7
101,chicken,10,1,animals,1,7
102,cheetah,10,1,animals,3,8
103,lion,10,1,animals,3,8
104,tiger,10,1,animals,3,8
105,frog,10,1,animals,3,8
106,alligator,10,1,animals,3,8
107,crocodile,10,1,animals,3,8
108,frog,10,1,animals,3,8
109,monkey,10,1,animals,3,8
110,elephant,10,1,animals,3,8
111,pig,10,1,animals,3,8
112,zebra,10,1,animals,3,8
113,chicken,10,1,animals,3,8
114,pig,10,1,animals,3,8
115,biscuit,10,1,animals,3,8
116,horse,10,1,animals,3,8
117,lion,10,1,animals,3,8
118,tiger,11,1,animals,1,9
119,lion,11,1,animals,1,9
120,dog,11,1,animals,1,9
121,cat,11,1,animals,1,9
122,fish,11,1,animals,1,9
123,salmon,11,1,animals,1,9
124,leopard,11,1,animals,1,9
125,cheetah,11,1,animals,1,9
126,lion,11,1,animals,1,9
