,item,id,category_id,category,round,listnum
0,pizza,7,3,foods,1,1
1,mac cheese,7,3,foods,1,1
2,pastum,7,3,foods,1,1
3,waffle,7,3,foods,1,1
4,pancake,7,3,foods,1,1
5,grapefruit,7,3,foods,1,1
6,orange,7,3,foods,1,1
7,apple,7,3,foods,1,1
8,clementine,7,3,foods,1,1
9,pear,7,3,foods,1,1
10,broccoli,7,3,foods,1,1
11,celery,7,3,foods,1,1
12,chorizo,7,3,foods,1,1
13,ice cream,7,3,foods,1,1
14,cake,7,3,foods,1,1
15,pie,7,3,foods,1,1
16,pizza,7,3,foods,3,2
17,broccoli,7,3,foods,3,2
18,mac,7,3,foods,3,2
19,cheese,7,3,foods,3,2
20,noodle,7,3,foods,3,2
21,spaghettus,7,3,foods,3,2
22,chorizo,7,3,foods,3,2
23,grapefruit,7,3,foods,3,2
24,apple,7,3,foods,3,2
25,blackberry,7,3,foods,3,2
26,raspberry,7,3,foods,3,2
27,carrot,7,3,foods,3,2
28,carrot pizza,7,3,foods,3,2
29,cabbage,7,3,foods,3,2
30,spinach,7,3,foods,3,2
31,turnip,7,3,foods,3,2
32,iceberg,7,3,foods,3,2
33,snow,7,3,foods,3,2
34,applesauce,7,3,foods,3,2
35,turkey,7,3,foods,3,2
36,dorito,8,3,foods,2,3
37,noodle,8,3,foods,2,3
38,salad,8,3,foods,2,3
39,sprinkle,8,3,foods,2,3
40,food,8,3,foods,2,3
41,muffin,8,3,foods,2,3
42,candy,8,3,foods,2,3
43,noodle,8,3,foods,2,3
44,team,8,3,foods,2,3
45,m m,8,3,foods,2,3
46,animal,8,3,foods,4,4
47,food,8,3,foods,4,4
48,sheep,8,3,foods,4,4
49,food,8,3,foods,4,4
50,chip,8,3,foods,4,4
51,food,8,3,foods,4,4
52,chicken nugget,8,3,foods,4,4
53,fry,8,3,foods,4,4
54,turkey,8,3,foods,4,4
55,fish,8,3,foods,4,4
56,chicken wing,8,3,foods,4,4
57,water,8,3,foods,4,4
58,milk,8,3,foods,4,4
59,chocolate milk,8,3,foods,4,4
60,turkey,8,3,foods,4,4
61,salad,8,3,foods,4,4
62,turkey,8,3,foods,4,4
63,candy,9,3,foods,2,5
64,chicken,9,3,foods,2,5
65,egg,9,3,foods,2,5
66,bacon,9,3,foods,2,5
67,pancake,9,3,foods,2,5
68,mint,9,3,foods,2,5
69,chocolate cake,9,3,foods,2,5
70,vanilla cake,9,3,foods,2,5
71,cookie,9,3,foods,2,5
72,strawberry,9,3,foods,2,5
73,mango,9,3,foods,2,5
74,coconut,9,3,foods,2,5
75,kiwi,9,3,foods,2,5
76,yogurt,9,3,foods,2,5
77,oreo,9,3,foods,2,5
78,vanilla,9,3,foods,2,5
79,oreo,9,3,foods,2,5
80,chicken,9,3,foods,4,6
81,banana,9,3,foods,4,6
82,strawberry,9,3,foods,4,6
83,kiwi,9,3,foods,4,6
84,banana,9,3,foods,4,6
85,mango,9,3,foods,4,6
86,coconut,9,3,foods,4,6
87,chip,9,3,foods,4,6
88,candy,9,3,foods,4,6
89,mint,9,3,foods,4,6
90,blueberry,9,3,foods,4,6
91,strawberry,9,3,foods,4,6
92,strawberry,9,3,foods,4,6
93,grape,9,3,foods,4,6
94,grape,9,3,foods,4,6
95,grape,9,3,foods,4,6
96,chicken,10,3,foods,2,7
97,rice,10,3,foods,2,7
98,steak,10,3,foods,2,7
99,noodle,10,3,foods,2,7
100,macaroni,10,3,foods,2,7
101,cheese,10,3,foods,2,7
102,hamburger,10,3,foods,2,7
103,soup,10,3,foods,2,7
104,salad,10,3,foods,2,7
105,hamburger,10,3,foods,4,8
106,chicken,10,3,foods,4,8
107,steak,10,3,foods,4,8
108,rice,10,3,foods,4,8
109,meat,10,3,foods,4,8
110,bread,10,3,foods,4,8
111,yogurt,10,3,foods,4,8
112,milk,10,3,foods,4,8
113,butter,10,3,foods,4,8
114,cheese,10,3,foods,4,8
115,broccoli,11,3,foods,2,9
116,lettuce,11,3,foods,2,9
117,water,11,3,foods,2,9
118,fish,11,3,foods,2,9
119,salmon,11,3,foods,2,9
120,pig,11,3,foods,2,9
121,bacon,11,3,foods,2,9
122,ham,11,3,foods,2,9
123,sausage,11,3,foods,2,9
124,bacon,11,3,foods,2,9
125,ham,11,3,foods,2,9
126,salmon,11,3,foods,2,9
127,milk,11,3,foods,2,9
128,yogurt,11,3,foods,2,9
129,chocolate,11,3,foods,2,9
130,salmon,11,3,foods,4,10
131,broccoli,11,3,foods,4,10
132,lettuce,11,3,foods,4,10
133,fish,11,3,foods,4,10
134,salmon,11,3,foods,4,10
135,goldfish,11,3,foods,4,10
136,goldfish,11,3,foods,4,10
137,food,11,3,foods,4,10
138,cheeto,11,3,foods,4,10
139,applesauce,11,3,foods,4,10
140,train,11,3,foods,4,10
141,candy,11,3,foods,4,10
142,chocolate,11,3,foods,4,10
143,pom pom,11,3,foods,4,10
144,meatball,12,3,foods,2,11
145,spaghettus,12,3,foods,2,11
146,ice cream,12,3,foods,2,11
147,fruit,12,3,foods,2,11
148,lollipop,12,3,foods,2,11
149,banana,12,3,foods,2,11
150,apple,12,3,foods,2,11
151,orange,12,3,foods,2,11
152,kiwi,12,3,foods,2,11
153,pineapple,12,3,foods,2,11
154,apple,12,3,foods,4,12
155,banana,12,3,foods,4,12
156,orange,12,3,foods,4,12
157,ice cream,12,3,foods,4,12
