,id,item,category_id,category,round,listnum
47,7,Apple,4,grocery,2,1
48,7,orange,4,grocery,2,1
49,7,carrot,4,grocery,2,1
50,7,broccoli,4,grocery,2,1
51,7,chicken,4,grocery,2,1
52,7,jelly,4,grocery,2,1
53,7,beans,4,grocery,2,1
54,7,Orange,4,grocery,2,1
55,7,clementine,4,grocery,2,1
56,7,pineapple,4,grocery,2,1
57,7,plum,4,grocery,2,1
58,7,blueberry,4,grocery,2,1
59,7,strawberry,4,grocery,2,1
60,7,grapefruit,4,grocery,2,1
61,7,plum,4,grocery,2,1
62,7,Chicken taquitos,4,grocery,2,1
63,7,root beer,4,grocery,2,1
64,7,Soup,4,grocery,2,1
65,7,Bubbly water,4,grocery,2,1
143,7,Apple,4,grocery,4,2
144,7,carrot,4,grocery,4,2
145,7,pineapple,4,grocery,4,2
146,7,grape,4,grocery,4,2
147,7,chicken,4,grocery,4,2
148,7,grapefruit,4,grocery,4,2
149,7,apple,4,grocery,4,2
150,7,pizza,4,grocery,4,2
151,7,spaghetti,4,grocery,4,2
152,7,chicken taquitos,4,grocery,4,2
153,7,cabbage,4,grocery,4,2
154,7,spinach,4,grocery,4,2
155,7,carrot,4,grocery,4,2
156,7,carrot pizza,4,grocery,4,2
157,7,Watermelon,4,grocery,4,2
158,7,blackberry,4,grocery,4,2
159,7,blueberry,4,grocery,4,2
160,7,raspberry,4,grocery,4,2
161,7,pineapple,4,grocery,4,2
25,8,Lettuce,4,grocery,1,3
26,8,Pom poms,4,grocery,1,3
27,8,poms,4,grocery,1,3
28,8,Puzzle pieces,4,grocery,1,3
29,8,salad,4,grocery,1,3
30,8,Halloween stuff,4,grocery,1,3
31,8,Groceries,4,grocery,1,3
32,8,paper,4,grocery,1,3
33,8,pump,4,grocery,1,3
60,8,pickles,4,grocery,3,4
61,8,Fish,4,grocery,3,4
62,8,Chicken,4,grocery,3,4
63,8,nuggets,4,grocery,3,4
64,8,French fries,4,grocery,3,4
65,8,Apples,4,grocery,3,4
66,8,juice,4,grocery,3,4
67,8,Goldfish,4,grocery,3,4
68,8,Toys,4,grocery,3,4
69,8,Costumes,4,grocery,3,4
70,8,Groceries,4,grocery,3,4
71,8,Salad,4,grocery,3,4
72,8,Fish,4,grocery,3,4
73,8,Turkey,4,grocery,3,4
74,8,Salmon,4,grocery,3,4
75,8,Beads,4,grocery,3,4
76,8,Counters,4,grocery,3,4
18,9,Fruit,4,grocery,1,5
19,9,strawberries,4,grocery,1,5
20,9,Mango,4,grocery,1,5
21,9,Coconut,4,grocery,1,5
22,9,cookies,4,grocery,1,5
23,9,Cake,4,grocery,1,5
24,9,hat,4,grocery,1,5
25,9,Yeah,4,grocery,1,5
26,9,chips,4,grocery,1,5
27,9,pears,4,grocery,1,5
28,9,Pears,4,grocery,1,5
29,9,Kiwi,4,grocery,1,5
62,9,Popcorn,4,grocery,3,6
63,9,Hat,4,grocery,3,6
64,9,Mango,4,grocery,3,6
65,9,Kiwi,4,grocery,3,6
66,9,Blueberries,4,grocery,3,6
67,9,Coconut,4,grocery,3,6
68,9,chips,4,grocery,3,6
69,9,cookies,4,grocery,3,6
70,9,Gingerbread,4,grocery,3,6
71,9,houses,4,grocery,3,6
72,9,Yogurt,4,grocery,3,6
73,9,hat,4,grocery,3,6
74,9,hat,4,grocery,3,6
75,9,Shoes,4,grocery,3,6
76,9,Toys,4,grocery,3,6
77,9,Banana,4,grocery,3,6
78,9,Blueberry,4,grocery,3,6
79,9,Lemon,4,grocery,3,6
80,9,Lime,4,grocery,3,6
81,9,Onion,4,grocery,3,6
82,9,Tomato,4,grocery,3,6
83,9,Pumpkin,4,grocery,3,6
84,9,Pumpkin pie,4,grocery,3,6
12,10,many things,4,grocery,1,7
13,10,Vegetable,4,grocery,1,7
14,10,meat,4,grocery,1,7
15,10,seafood,4,grocery,1,7
16,10,tuna,4,grocery,1,7
17,10,sandwich,4,grocery,1,7
18,10,butter,4,grocery,1,7
19,10,waffles,4,grocery,1,7
20,10,yogurt,4,grocery,1,7
21,10,orange,4,grocery,1,7
22,10,juice,4,grocery,1,7
23,10,Milk,4,grocery,1,7
24,10,Chicken,4,grocery,1,7
46,10,Chicken,4,grocery,3,8
47,10,Rice,4,grocery,3,8
48,10,Yogurt,4,grocery,3,8
49,10,Steak,4,grocery,3,8
50,10,pancakes,4,grocery,3,8
51,10,Waffle,4,grocery,3,8
52,10,bacon,4,grocery,3,8
53,10,Eggs,4,grocery,3,8
54,10,Cake,4,grocery,3,8
55,10,veggies,4,grocery,3,8
56,10,munchkins,4,grocery,3,8
57,10,fruit,4,grocery,3,8
58,10,paper towels,4,grocery,3,8
59,10,chicken,4,grocery,3,8
60,10,Biscuits,4,grocery,3,8
61,10,Cheese,4,grocery,3,8
0,11,Lettuce,4,grocery,1,9
1,11,Broccoli,4,grocery,1,9
2,11,Tomato,4,grocery,1,9
3,11,Strawberry,4,grocery,1,9
4,11,Bread,4,grocery,1,9
5,11,Raisin bread,4,grocery,1,9
6,11,Salmon,4,grocery,1,9
7,11,Toys,4,grocery,1,9
8,11,Hot wheel cars,4,grocery,1,9
9,11,Drinks,4,grocery,1,9
10,11,Broccoli,4,grocery,1,9
11,11,Purple juice,4,grocery,1,9
12,11,Strawberry juice,4,grocery,1,9
13,11,Milk,4,grocery,1,9
83,11,Salmon,4,grocery,3,10
84,11,clothes,4,grocery,3,10
85,11,fish,4,grocery,3,10
86,11,milk,4,grocery,3,10
87,11,yogurt,4,grocery,3,10
88,11,hot,4,grocery,3,10
89,11,chocolate,4,grocery,3,10
90,11,drinks,4,grocery,3,10
91,11,food,4,grocery,3,10
92,11,salmon,4,grocery,3,10
93,11,toys,4,grocery,3,10
94,11,hot wheel cars,4,grocery,3,10
95,11,kitchen stuff,4,grocery,3,10
96,11,bathrooms,4,grocery,3,10
97,11,showers,4,grocery,3,10
98,11,sinks,4,grocery,3,10
99,11,plants,4,grocery,3,10
100,11,car,4,grocery,3,10
101,11,toy cars,4,grocery,3,10
102,11,real cars,4,grocery,3,10
103,11,tools,4,grocery,3,10
4,12,Egg,4,grocery,1,11
5,12,Milk,4,grocery,1,11
6,12,Candy,4,grocery,1,11
7,12,Pool,4,grocery,1,11
8,12,Toys,4,grocery,1,11
9,12,Shoes,4,grocery,1,11
10,12,clothes,4,grocery,1,11
11,12,Lights,4,grocery,1,11
12,12,Ice cream,4,grocery,1,11
39,12,Lollipop,4,grocery,3,12
40,12,Candy,4,grocery,3,12
41,12,Ice cream,4,grocery,3,12
42,12,Milk,4,grocery,3,12
43,12,Egg,4,grocery,3,12
