,item,id,category_id,category,round,listnum
0,apple,7,4,grocery,2,1
1,orange,7,4,grocery,2,1
2,carrot,7,4,grocery,2,1
3,broccoli,7,4,grocery,2,1
4,chicken,7,4,grocery,2,1
5,bean,7,4,grocery,2,1
6,orange,7,4,grocery,2,1
7,clementine,7,4,grocery,2,1
8,pineapple,7,4,grocery,2,1
9,plum,7,4,grocery,2,1
10,blueberry,7,4,grocery,2,1
11,strawberry,7,4,grocery,2,1
12,grapefruit,7,4,grocery,2,1
13,plum,7,4,grocery,2,1
14,chicken taquito,7,4,grocery,2,1
15,root beer,7,4,grocery,2,1
16,soup,7,4,grocery,2,1
17,water,7,4,grocery,2,1
18,apple,7,4,grocery,4,2
19,carrot,7,4,grocery,4,2
20,pineapple,7,4,grocery,4,2
21,grape,7,4,grocery,4,2
22,chicken,7,4,grocery,4,2
23,grapefruit,7,4,grocery,4,2
24,apple,7,4,grocery,4,2
25,pizza,7,4,grocery,4,2
26,spaghettus,7,4,grocery,4,2
27,chicken taquito,7,4,grocery,4,2
28,cabbage,7,4,grocery,4,2
29,spinach,7,4,grocery,4,2
30,carrot,7,4,grocery,4,2
31,carrot pizza,7,4,grocery,4,2
32,watermelon,7,4,grocery,4,2
33,blackberry,7,4,grocery,4,2
34,blueberry,7,4,grocery,4,2
35,raspberry,7,4,grocery,4,2
36,pineapple,7,4,grocery,4,2
37,lettuce,8,4,grocery,1,3
38,pom pom,8,4,grocery,1,3
39,pom,8,4,grocery,1,3
40,piece,8,4,grocery,1,3
41,salad,8,4,grocery,1,3
42,stuff,8,4,grocery,1,3
43,grocery,8,4,grocery,1,3
44,paper,8,4,grocery,1,3
45,pump,8,4,grocery,1,3
46,pickle,8,4,grocery,3,4
47,fish,8,4,grocery,3,4
48,chicken,8,4,grocery,3,4
49,nugget,8,4,grocery,3,4
50,fry,8,4,grocery,3,4
51,apple,8,4,grocery,3,4
52,juice,8,4,grocery,3,4
53,goldfish,8,4,grocery,3,4
54,toy,8,4,grocery,3,4
55,costume,8,4,grocery,3,4
56,grocery,8,4,grocery,3,4
57,salad,8,4,grocery,3,4
58,fish,8,4,grocery,3,4
59,turkey,8,4,grocery,3,4
60,salmon,8,4,grocery,3,4
61,bead,8,4,grocery,3,4
62,counter,8,4,grocery,3,4
63,fruit,9,4,grocery,1,5
64,strawberry,9,4,grocery,1,5
65,mango,9,4,grocery,1,5
66,coconut,9,4,grocery,1,5
67,cake,9,4,grocery,1,5
68,hat,9,4,grocery,1,5
69,chip,9,4,grocery,1,5
70,pear,9,4,grocery,1,5
71,pear,9,4,grocery,1,5
72,kiwi,9,4,grocery,1,5
73,popcorn,9,4,grocery,3,6
74,hat,9,4,grocery,3,6
75,mango,9,4,grocery,3,6
76,kiwi,9,4,grocery,3,6
77,blueberry,9,4,grocery,3,6
78,coconut,9,4,grocery,3,6
79,chip,9,4,grocery,3,6
80,gingerbread,9,4,grocery,3,6
81,house,9,4,grocery,3,6
82,yogurt,9,4,grocery,3,6
83,hat,9,4,grocery,3,6
84,hat,9,4,grocery,3,6
85,shoe,9,4,grocery,3,6
86,toy,9,4,grocery,3,6
87,banana,9,4,grocery,3,6
88,blueberry,9,4,grocery,3,6
89,lemon,9,4,grocery,3,6
90,lime,9,4,grocery,3,6
91,onion,9,4,grocery,3,6
92,tomato,9,4,grocery,3,6
93,pumpkin,9,4,grocery,3,6
94,pumpkin pie,9,4,grocery,3,6
95,thing,10,4,grocery,1,7
96,vegetable,10,4,grocery,1,7
97,meat,10,4,grocery,1,7
98,seafood,10,4,grocery,1,7
99,tuna,10,4,grocery,1,7
100,sandwich,10,4,grocery,1,7
101,butter,10,4,grocery,1,7
102,waffle,10,4,grocery,1,7
103,yogurt,10,4,grocery,1,7
104,orange,10,4,grocery,1,7
105,juice,10,4,grocery,1,7
106,milk,10,4,grocery,1,7
107,chicken,10,4,grocery,1,7
108,chicken,10,4,grocery,3,8
109,rice,10,4,grocery,3,8
110,yogurt,10,4,grocery,3,8
111,steak,10,4,grocery,3,8
112,pancake,10,4,grocery,3,8
113,waffle,10,4,grocery,3,8
114,bacon,10,4,grocery,3,8
115,egg,10,4,grocery,3,8
116,cake,10,4,grocery,3,8
117,munchkin,10,4,grocery,3,8
118,fruit,10,4,grocery,3,8
119,paper towel,10,4,grocery,3,8
120,chicken,10,4,grocery,3,8
121,biscuit,10,4,grocery,3,8
122,cheese,10,4,grocery,3,8
123,lettuce,11,4,grocery,1,9
124,broccoli,11,4,grocery,1,9
125,tomato,11,4,grocery,1,9
126,strawberry,11,4,grocery,1,9
127,bread,11,4,grocery,1,9
128,raisin bread,11,4,grocery,1,9
129,salmon,11,4,grocery,1,9
130,toy,11,4,grocery,1,9
131,wheel car,11,4,grocery,1,9
132,drink,11,4,grocery,1,9
133,broccoli,11,4,grocery,1,9
134,purple juice,11,4,grocery,1,9
135,strawberry juice,11,4,grocery,1,9
136,milk,11,4,grocery,1,9
137,salmon,11,4,grocery,3,10
138,clothe,11,4,grocery,3,10
139,fish,11,4,grocery,3,10
140,milk,11,4,grocery,3,10
141,yogurt,11,4,grocery,3,10
142,chocolate,11,4,grocery,3,10
143,drink,11,4,grocery,3,10
144,food,11,4,grocery,3,10
145,salmon,11,4,grocery,3,10
146,toy,11,4,grocery,3,10
147,wheel car,11,4,grocery,3,10
148,kitchen stuff,11,4,grocery,3,10
149,bathroom,11,4,grocery,3,10
150,shower,11,4,grocery,3,10
151,sink,11,4,grocery,3,10
152,plant,11,4,grocery,3,10
153,car,11,4,grocery,3,10
154,toy car,11,4,grocery,3,10
155,car,11,4,grocery,3,10
156,tool,11,4,grocery,3,10
157,egg,12,4,grocery,1,11
158,milk,12,4,grocery,1,11
159,candy,12,4,grocery,1,11
160,pool,12,4,grocery,1,11
161,toy,12,4,grocery,1,11
162,shoe,12,4,grocery,1,11
163,clothe,12,4,grocery,1,11
164,light,12,4,grocery,1,11
165,ice cream,12,4,grocery,1,11
166,lollipop,12,4,grocery,3,12
167,candy,12,4,grocery,3,12
168,ice cream,12,4,grocery,3,12
169,milk,12,4,grocery,3,12
170,egg,12,4,grocery,3,12
171,banana,12,4,grocery,3,12
172,apple,12,4,grocery,3,12
173,shoe,12,4,grocery,3,12
174,clothe,12,4,grocery,3,12
175,toy,12,4,grocery,3,12
176,pineapple,13,4,grocery,2,13
177,cabbage,13,4,grocery,2,13
178,corn,13,4,grocery,2,13
179,grocery bag,13,4,grocery,2,13
180,broccoli,13,4,grocery,2,13
181,carrot,13,4,grocery,2,13
182,pea,13,4,grocery,2,13
183,bean,13,4,grocery,2,13
184,corn,13,4,grocery,2,13
185,pineapple,13,4,grocery,2,13
186,cherry,13,4,grocery,2,13
187,shop rite,13,4,grocery,3,14
188,wendy,13,4,grocery,3,14
189,wawa,13,4,grocery,3,14
190,pineapple,13,4,grocery,3,14
191,broccoli,13,4,grocery,3,14
192,chicken,13,4,grocery,3,14
193,stuff,13,4,grocery,3,14
194,mommy,13,4,grocery,3,14
195,toy,13,4,grocery,3,14
196,pea,13,4,grocery,3,14
197,bean,13,4,grocery,3,14
198,pineapple,13,4,grocery,3,14
199,cherry,13,4,grocery,3,14
200,watermelon,13,4,grocery,3,14
201,corn,13,4,grocery,3,14
202,pineapple,13,4,grocery,3,14
203,apple,14,4,grocery,2,15
204,banana,14,4,grocery,2,15
205,orange,14,4,grocery,2,15
206,tomato,14,4,grocery,2,15
207,drink,14,4,grocery,2,15
208,cereal,14,4,grocery,2,15
209,cheese,14,4,grocery,2,15
210,meat,14,4,grocery,2,15
211,steak,14,4,grocery,2,15
212,chicken,14,4,grocery,2,15
213,chip,14,4,grocery,2,15
214,sauce,14,4,grocery,2,15
215,banana,14,4,grocery,2,15
216,pancake,14,4,grocery,2,15
217,waffle,14,4,grocery,2,15
218,ice pop,14,4,grocery,2,15
219,ice cream,14,4,grocery,2,15
220,apple,14,4,grocery,4,16
221,banana,14,4,grocery,4,16
222,orange,14,4,grocery,4,16
223,peach,14,4,grocery,4,16
224,drink,14,4,grocery,4,16
225,salmon,14,4,grocery,4,16
226,shrimp,14,4,grocery,4,16
227,meat,14,4,grocery,4,16
228,steak,14,4,grocery,4,16
229,chicken,14,4,grocery,4,16
230,ham,14,4,grocery,4,16
231,cheese,14,4,grocery,4,16
232,cereal,14,4,grocery,4,16
233,ice pop,14,4,grocery,4,16
234,ice cream,14,4,grocery,4,16
235,cream,14,4,grocery,4,16
236,cherry,14,4,grocery,4,16
237,chip,14,4,grocery,4,16
238,soda,14,4,grocery,4,16
239,pancake,14,4,grocery,4,16
240,waffle,14,4,grocery,4,16
241,cranberry,14,4,grocery,4,16
242,raspberry,14,4,grocery,4,16
243,blueberry,14,4,grocery,4,16
244,blackberry,14,4,grocery,4,16
245,vegetable,15,4,grocery,1,17
246,fruit,15,4,grocery,1,17
247,pizza,15,4,grocery,1,17
248,tool,15,4,grocery,1,17
249,food,15,4,grocery,1,17
250,banana,15,4,grocery,1,17
251,sheet,15,4,grocery,1,17
252,yarn,15,4,grocery,1,17
253,broccoli,15,4,grocery,1,17
254,carrot,15,4,grocery,1,17
255,strawberry,15,4,grocery,1,17
256,sweet,15,4,grocery,1,17
257,chocolate,15,4,grocery,1,17
258,ice cream,15,4,grocery,1,17
259,wall,15,4,grocery,1,17
260,material,15,4,grocery,1,17
261,wood,15,4,grocery,1,17
262,pet,15,4,grocery,3,18
263,dog,15,4,grocery,3,18
264,cat,15,4,grocery,3,18
265,lizard,15,4,grocery,3,18
266,metal,15,4,grocery,3,18
267,light,15,4,grocery,3,18
268,sign,15,4,grocery,3,18
