,id,age,category,category_type,semantic_field,network,n,m,c,pl,ed,d
0,7,92.3,animals,taxonomic,animal_field,nrw,30,33,0.027777777777777776,4.891111111111111,0.07586206896551724,2.2
1,8,75.18,animals,taxonomic,animal_field,nrw,11,16,0.11515151515151514,1.9834710743801653,0.2909090909090909,2.909090909090909
2,9,89.02,animals,taxonomic,animal_field,nrw,22,27,0.05757575757575757,3.0,0.11688311688311688,2.4545454545454546
3,10,64.24,animals,taxonomic,animal_field,nrw,18,25,0.2037037037037037,2.771604938271605,0.16339869281045752,2.7777777777777777
4,11,76.15,animals,taxonomic,animal_field,nrw,20,27,0.19666666666666668,4.085,0.14210526315789473,2.7
5,12,74.28,animals,taxonomic,animal_field,nrw,10,8,0.0,1.6,0.17777777777777778,1.6
6,13,60.12,animals,taxonomic,animal_field,nrw,10,20,0.47333333333333333,1.46,0.4444444444444444,4.0
7,14,96.3,animals,taxonomic,animal_field,nrw,24,30,0.10416666666666664,3.861111111111111,0.10869565217391304,2.5
8,15,95.22,animals,taxonomic,animal_field,nrw,26,33,0.038461538461538464,3.804733727810651,0.10153846153846154,2.5384615384615383
9,18,82.27,animals,taxonomic,animal_field,nrw,18,22,0.0,3.345679012345679,0.1437908496732026,2.4444444444444446
10,19,84.25,animals,taxonomic,animal_field,nrw,18,27,0.07407407407407408,2.5555555555555554,0.17647058823529413,3.0
11,20,68.1,animals,taxonomic,animal_field,nrw,12,13,0.13888888888888887,3.5833333333333335,0.19696969696969696,2.1666666666666665
12,21,74.26,animals,taxonomic,animal_field,nrw,14,20,0.30476190476190473,2.2755102040816326,0.21978021978021978,2.857142857142857
13,22,84.1,animals,taxonomic,animal_field,nrw,15,22,0.19333333333333333,2.48,0.20952380952380953,2.933333333333333
14,23,71.03,animals,taxonomic,animal_field,nrw,9,13,0.5185185185185185,1.8518518518518519,0.3611111111111111,2.888888888888889
15,24,102.17,animals,taxonomic,animal_field,nrw,29,37,0.11494252873563218,3.750297265160523,0.09113300492610837,2.5517241379310347
16,25,64.18,animals,taxonomic,animal_field,nrw,12,10,0.0,1.9444444444444444,0.15151515151515152,1.6666666666666667
17,26,80.01,animals,taxonomic,animal_field,nrw,15,16,0.08888888888888888,3.1466666666666665,0.1523809523809524,2.1333333333333333
18,28,68.21,animals,taxonomic,animal_field,nrw,16,20,0.16874999999999998,3.1796875,0.16666666666666666,2.5
19,29,98.09,animals,taxonomic,animal_field,nrw,26,26,0.0,4.902366863905326,0.08,2.0
20,30,81.17,animals,taxonomic,animal_field,nrw,19,23,0.0982456140350877,3.7562326869806095,0.13450292397660818,2.4210526315789473
21,31,106.28,animals,taxonomic,animal_field,nrw,16,22,0.01666666666666667,2.375,0.18333333333333332,2.75
22,32,77.05,animals,taxonomic,animal_field,nrw,16,24,0.14166666666666666,2.4921875,0.2,3.0
23,35,98.17,animals,taxonomic,animal_field,nrw,21,28,0.2,3.82312925170068,0.13333333333333333,2.6666666666666665
24,36,66.19,animals,taxonomic,animal_field,nrw,6,10,0.5555555555555555,1.3333333333333333,0.6666666666666666,3.3333333333333335
25,37,98.03,animals,taxonomic,animal_field,nrw,20,23,0.0,3.135,0.12105263157894737,2.3
26,38,73.27,animals,taxonomic,animal_field,nrw,11,12,0.0,3.3057851239669422,0.21818181818181817,2.1818181818181817
27,40,86.19,animals,taxonomic,animal_field,nrw,12,18,0.19999999999999998,1.8194444444444444,0.2727272727272727,3.0
28,41,80.06,animals,taxonomic,animal_field,nrw,22,30,0.19090909090909092,3.5165289256198347,0.12987012987012986,2.727272727272727
29,42,79.0,animals,taxonomic,animal_field,nrw,16,21,0.08958333333333333,3.0546875,0.175,2.625
30,43,106.08,animals,taxonomic,animal_field,nrw,36,46,0.031878306878306874,3.7901234567901234,0.07301587301587302,2.5555555555555554
31,44,64.16,animals,taxonomic,animal_field,nrw,19,28,0.15263157894736845,2.7645429362880884,0.16374269005847952,2.9473684210526314
32,45,92.01,animals,taxonomic,animal_field,nrw,30,42,0.056666666666666664,3.7111111111111112,0.09655172413793103,2.8
33,46,94.28,animals,taxonomic,animal_field,nrw,18,19,0.12037037037037039,4.395061728395062,0.12418300653594772,2.111111111111111
34,47,68.15,animals,taxonomic,animal_field,nrw,24,33,0.1418650793650794,3.2777777777777777,0.11956521739130435,2.75
35,48,65.28,animals,taxonomic,animal_field,nrw,16,18,0.2583333333333333,4.046875,0.15,2.25
36,49,65.28,animals,taxonomic,animal_field,nrw,17,18,0.10980392156862745,3.667820069204152,0.1323529411764706,2.1176470588235294
0,7,92.3,animals,taxonomic,animal_field,u-invite,30,33,0.027777777777777776,4.891111111111111,0.07586206896551724,2.2
1,8,75.18,animals,taxonomic,animal_field,u-invite,11,16,0.11515151515151514,1.9834710743801653,0.2909090909090909,2.909090909090909
2,9,89.02,animals,taxonomic,animal_field,u-invite,22,28,0.09242424242424242,2.9958677685950414,0.12121212121212122,2.5
3,10,64.24,animals,taxonomic,animal_field,u-invite,18,25,0.2037037037037037,2.771604938271605,0.16339869281045752,2.7777777777777777
4,11,76.15,animals,taxonomic,animal_field,u-invite,20,27,0.19666666666666668,4.085,0.14210526315789473,2.7
5,12,74.28,animals,taxonomic,animal_field,u-invite,10,8,0.0,1.6,0.17777777777777778,1.6
6,13,60.12,animals,taxonomic,animal_field,u-invite,10,12,0.13333333333333336,2.04,0.26666666666666666,3.2
7,14,96.3,animals,taxonomic,animal_field,u-invite,24,28,0.03472222222222222,4.336805555555555,0.10144927536231885,2.4166666666666665
8,15,95.22,animals,taxonomic,animal_field,u-invite,26,33,0.038461538461538464,3.804733727810651,0.10153846153846154,2.5384615384615383
9,18,82.27,animals,taxonomic,animal_field,u-invite,18,22,0.0,3.345679012345679,0.1437908496732026,2.4444444444444446
10,19,84.25,animals,taxonomic,animal_field,u-invite,18,27,0.07407407407407408,2.5555555555555554,0.17647058823529413,3.0
11,20,68.1,animals,taxonomic,animal_field,u-invite,12,13,0.13888888888888887,3.5833333333333335,0.19696969696969696,2.1666666666666665
12,21,74.26,animals,taxonomic,animal_field,u-invite,14,20,0.30476190476190473,2.2755102040816326,0.21978021978021978,2.857142857142857
13,22,84.1,animals,taxonomic,animal_field,u-invite,15,22,0.19333333333333333,2.48,0.20952380952380953,2.933333333333333
14,23,71.03,animals,taxonomic,animal_field,u-invite,9,9,0.16666666666666666,2.4444444444444446,0.25,2.4444444444444446
15,24,102.17,animals,taxonomic,animal_field,u-invite,29,36,0.10344827586206895,3.8240190249702737,0.08866995073891626,2.5172413793103448
16,25,64.18,animals,taxonomic,animal_field,u-invite,12,10,0.0,1.9444444444444444,0.15151515151515152,1.6666666666666667
17,26,80.01,animals,taxonomic,animal_field,u-invite,15,16,0.08888888888888888,3.1466666666666665,0.1523809523809524,2.1333333333333333
18,28,68.21,animals,taxonomic,animal_field,u-invite,16,17,0.0,3.625,0.14166666666666666,2.3125
19,29,98.09,animals,taxonomic,animal_field,u-invite,26,26,0.0,4.902366863905326,0.08,2.0
20,30,81.17,animals,taxonomic,animal_field,u-invite,19,23,0.0982456140350877,3.7562326869806095,0.13450292397660818,2.4210526315789473
21,31,106.28,animals,taxonomic,animal_field,u-invite,16,22,0.01666666666666667,2.375,0.18333333333333332,2.75
22,32,77.05,animals,taxonomic,animal_field,u-invite,16,24,0.14166666666666666,2.4921875,0.2,3.0
23,35,98.17,animals,taxonomic,animal_field,u-invite,21,28,0.2,3.82312925170068,0.13333333333333333,2.6666666666666665
24,36,66.19,animals,taxonomic,animal_field,u-invite,6,10,0.5555555555555555,1.3333333333333333,0.6666666666666666,3.3333333333333335
25,37,98.03,animals,taxonomic,animal_field,u-invite,20,24,0.06999999999999999,3.125,0.12631578947368421,2.35
26,38,73.27,animals,taxonomic,animal_field,u-invite,11,12,0.0,3.3057851239669422,0.21818181818181817,2.1818181818181817
