,id,item,category_id,category,round,listnum
31,7,pizza,3,foods,1,1
32,7,mac and cheese,3,foods,1,1
33,7,pasta,3,foods,1,1
34,7,waffles,3,foods,1,1
35,7,pancakes,3,foods,1,1
36,7,grapefruit,3,foods,1,1
37,7,orange,3,foods,1,1
38,7,apple,3,foods,1,1
39,7,clementine,3,foods,1,1
40,7,pear,3,foods,1,1
41,7,broccoli,3,foods,1,1
42,7,celery,3,foods,1,1
43,7,chorizo,3,foods,1,1
44,7,ice cream,3,foods,1,1
45,7,cake,3,foods,1,1
46,7,pie,3,foods,1,1
81,7,Pizza,3,foods,3,2
82,7,broccoli,3,foods,3,2
83,7,mac,3,foods,3,2
84,7,cheese,3,foods,3,2
85,7,noodles,3,foods,3,2
86,7,spaghetti,3,foods,3,2
87,7,chorizo,3,foods,3,2
88,7,grapefruit,3,foods,3,2
89,7,apple,3,foods,3,2
90,7,blackberry,3,foods,3,2
91,7,raspberry,3,foods,3,2
92,7,carrot,3,foods,3,2
93,7,carrot pizza,3,foods,3,2
94,7,cabbage,3,foods,3,2
95,7,spinach,3,foods,3,2
96,7,turnip,3,foods,3,2
97,7,iceberg,3,foods,3,2
98,7,snow,3,foods,3,2
99,7,applesauce,3,foods,3,2
100,7,Turkey,3,foods,3,2
34,8,Doritos,3,foods,2,3
35,8,Noodles,3,foods,2,3
36,8,Salad,3,foods,2,3
37,8,Sprinkles,3,foods,2,3
38,8,Oven,3,foods,2,3
39,8,Oven food,3,foods,2,3
40,8,muffins,3,foods,2,3
41,8,candy,3,foods,2,3
42,8,[unclear],3,foods,2,3
43,8,noodles,3,foods,2,3
44,8,teams,3,foods,2,3
45,8,M&Ms,3,foods,2,3
99,8,Animal,3,foods,4,4
100,8,food,3,foods,4,4
101,8,Sheep,3,foods,4,4
102,8,Food,3,foods,4,4
103,8,chips,3,foods,4,4
104,8,food,3,foods,4,4
105,8,Chicken nuggets,3,foods,4,4
106,8,Fried,3,foods,4,4
107,8,fries,3,foods,4,4
108,8,Turkey,3,foods,4,4
109,8,Fish,3,foods,4,4
110,8,Chicken wings,3,foods,4,4
111,8,Water,3,foods,4,4
112,8,Milk,3,foods,4,4
113,8,chocolate milk,3,foods,4,4
114,8,Turkey,3,foods,4,4
115,8,Salad,3,foods,4,4
116,8,Turkey,3,foods,4,4
30,9,candy,3,foods,2,5
31,9,Chicken,3,foods,2,5
32,9,egg,3,foods,2,5
33,9,bacon,3,foods,2,5
34,9,Pancakes,3,foods,2,5
35,9,Mints,3,foods,2,5
36,9,Lava cake,3,foods,2,5
37,9,Chocolate cake,3,foods,2,5
38,9,Vanilla cake,3,foods,2,5
39,9,Frosting,3,foods,2,5
40,9,Cookie,3,foods,2,5
41,9,Strawberries,3,foods,2,5
42,9,Mango,3,foods,2,5
