,id,item,category_id,category,round,listnum
0,7,track,0,toys,0,0
1,7,dinosaur,0,toys,0,0
2,7,motorcycle,0,toys,0,0
3,7,horse,0,toys,0,0
4,7,dump truck,0,toys,0,0
5,7,excavator,0,toys,0,0
6,7,[unclear],0,toys,0,0
7,7,noodle,0,toys,0,0
8,7,butterfly,0,toys,0,0
9,7,bear,0,toys,0,0
10,7,pikachu,0,toys,0,0
11,7,squirtle,0,toys,0,0
0,8,Fidget,0,toys,0,0
1,8,Balls,0,toys,0,0
2,8,baby stuff,0,toys,0,0
3,8,Babies,0,toys,0,0
4,8,toy,0,toys,0,0
5,8,babies,0,toys,0,0
6,8,cars,0,toys,0,0
7,8,track,0,toys,0,0
8,8,Puzzle pieces,0,toys,0,0
9,8,baby things,0,toys,0,0
10,8,baby shakes,0,toys,0,0
11,8,balls,0,toys,0,0
12,8,balls,0,toys,0,0
0,9,dinosaur,0,toys,0,0
1,9,stuffed animal,0,toys,0,0
2,9,a marvel one,0,toys,0,0
3,9,Legos,0,toys,0,0
4,9,Harry Potter figures,0,toys,0,0
5,9,Superhero figures,0,toys,0,0
6,9,Poochie,0,toys,0,0
0,12,Toy train,0,toys,0,0
1,12,Block,0,toys,0,0
2,12,Puzzle,0,toys,0,0
3,12,pizza,0,toys,0,0
0,13,baby toy,0,toys,0,0
1,13,kid toy,0,toys,0,0
2,13,grown-up toy,0,toys,0,0
3,13,dinosaur toy,0,toys,0,0
4,13,cat toy,0,toys,0,0
5,13,dog toy,0,toys,0,0
6,13,bone,0,toys,0,0
7,13,dog food,0,toys,0,0
8,13,food,0,toys,0,0
9,13,cat,0,toys,0,0
10,13,games,0,toys,0,0
11,13,puzzles,0,toys,0,0
0,14,Cars,0,toys,0,0
1,14,Legos,0,toys,0,0
2,14,Those good ones,0,toys,0,0
3,14,little tiny figures,0,toys,0,0
4,14,baseball card,0,toys,0,0
5,14,Football card,0,toys,0,0
0,18,Slinky,0,toys,0,0
1,18,Ball toy,0,toys,0,0
2,18,race car toy,0,toys,0,0
3,18,Race car,0,toys,0,0
4,18,Toy,0,toys,0,0
5,18,Stuffed animal toy,0,toys,0,0
6,18,magnet toy,0,toys,0,0
7,18,Magnet tiles,0,toys,0,0
8,18,Those toys fly like pull thingy,0,toys,0,0
0,19,toy car,0,toys,0,0
1,19,teddy bear,0,toys,0,0
2,19,race car,0,toys,0,0
3,19,Hot wheels car,0,toys,0,0
4,19,Monster truck,0,toys,0,0
5,19,cowboy toy,0,toys,0,0
6,19,owlette toy,0,toys,0,0
7,19,Marshall toy,0,toys,0,0
8,19,Rider toy,0,toys,0,0
9,19,Chase toy,0,toys,0,0
10,19,Gecko toy,0,toys,0,0
11,19,cowboy car,0,toys,0,0
12,19,mr. potato head,0,toys,0,0
0,20,teddy bear,0,toys,0,0
1,20,Elephant,0,toys,0,0
2,20,Puppy,0,toys,0,0
3,20,toy story,0,toys,0,0
4,20,Woody,0,toys,0,0
5,20,Buzz,0,toys,0,0
6,20,hedgehog,0,toys,0,0
0,21,maraca,0,toys,0,0
1,21,toy piece,0,toys,0,0
2,21,fish,0,toys,0,0
3,21,pom-pom,0,toys,0,0
4,21,timer,0,toys,0,0
5,21,toy,0,toys,0,0
6,21,necklace,0,toys,0,0
7,21,Legos,0,toys,0,0
8,21,Mickey Mouse,0,toys,0,0
9,21,Lego piece,0,toys,0,0
10,21,computer,0,toys,0,0
11,21,computer toy,0,toys,0,0
0,22,stuffies,0,toys,0,0
1,22,squishies,0,toys,0,0
2,22,hard toys,0,toys,0,0
3,22,sparkly toys,0,toys,0,0
4,22,shiny toys,0,toys,0,0
5,22,noisy toys,0,toys,0,0
6,22,toys,0,toys,0,0
7,22,silly toys,0,toys,0,0
8,22,cute toys,0,toys,0,0
9,22,[unclear] stuff,0,toys,0,0
10,22,plastic toys,0,toys,0,0
11,22,round toys,0,toys,0,0
12,22,toys that break,0,toys,0,0
13,22,toys that don't break,0,toys,0,0
14,22,pictures,0,toys,0,0
0,23,stuffy,0,toys,0,0
1,23,dolly,0,toys,0,0
2,23,baby doll,0,toys,0,0
3,23,art toy,0,toys,0,0
4,23,Pom-pom toys,0,toys,0,0
5,23,Paper toys,0,toys,0,0
6,23,Airplanes,0,toys,0,0
7,23,paper bear,0,toys,0,0
8,23,Paper bird,0,toys,0,0
9,23,Paper computer,0,toys,0,0
10,23,Computer,0,toys,0,0
11,23,Paper iPad,0,toys,0,0
12,23,Paper pen,0,toys,0,0
13,23,Paper pom-pom,0,toys,0,0
0,24,Toy car,0,toys,0,0
1,24,toy stuffed animal,0,toys,0,0
2,24,Nintendo switch,0,toys,0,0
3,24,PlayStation,0,toys,0,0
4,24,PlayStation 1,0,toys,0,0
5,24,PlayStation 2,0,toys,0,0
6,24,PlayStation 3,0,toys,0,0
7,24,PlayStation 4,0,toys,0,0
8,24,PlayStation 5,0,toys,0,0
9,24,Xbox,0,toys,0,0
10,24,Xbox 360,0,toys,0,0
11,24,Nintendo switch light,0,toys,0,0
12,24,toy apple,0,toys,0,0
13,24,toy banana,0,toys,0,0
14,24,banana thing,0,toys,0,0
15,24,toy monkey,0,toys,0,0
16,24,toy ball,0,toys,0,0
17,24,soccer ball,0,toys,0,0
18,24,ball toy,0,toys,0,0
19,24,dog toy,0,toys,0,0
20,24,car,0,toys,0,0
0,25,[unclear],0,toys,0,0
1,25,rocket ships,0,toys,0,0
0,26,light saber toy,0,toys,0,0
1,26,dragonfly toy,0,toys,0,0
2,26,pokemon toy,0,toys,0,0
3,26,fire truck,0,toys,0,0
4,26,toy bus,0,toys,0,0
5,26,toy ninja,0,toys,0,0
6,26,toy phone,0,toys,0,0
7,26,toy computer,0,toys,0,0
8,26,toy speaker,0,toys,0,0
9,26,one of those fake houses you put in the backyard,0,toys,0,0
0,28,toy cab,0,toys,0,0
1,28,Toy ball,0,toys,0,0
2,28,Toy book,0,toys,0,0
3,28,toy globe,0,toys,0,0
4,28,Toy school,0,toys,0,0
5,28,Toy season,0,toys,0,0
6,28,Toy cup,0,toys,0,0
0,29,Toy story,0,toys,0,0
1,29,Toy jar,0,toys,0,0
2,29,toy planes,0,toys,0,0
3,29,toys,0,toys,0,0
4,29,Toy stuffed animal,0,toys,0,0
5,29,Toy panda,0,toys,0,0
6,29,toy,0,toys,0,0
7,29,Toy giraffe,0,toys,0,0
8,29,Toy bunny,0,toys,0,0
9,29,Toy skunk,0,toys,0,0
10,29,Toy pom-pom,0,toys,0,0
11,29,Toy pup,0,toys,0,0
0,30,legos,0,toys,0,0
1,30,magnet tiles,0,toys,0,0
2,30,connectors,0,toys,0,0
3,30,Train,0,toys,0,0
