,id,item,category_id,category,round,listnum
12,7,giraffe,2,zoo,1,1
13,7,lizard,2,zoo,1,1
14,7,tiger,2,zoo,1,1
15,7,lion,2,zoo,1,1
16,7,leopard,2,zoo,1,1
17,7,cheetah,2,zoo,1,1
18,7,snake,2,zoo,1,1
19,7,iguanodon,2,zoo,1,1
20,7,kangaroo,2,zoo,1,1
21,7,turkey,2,zoo,1,1
22,7,chicken,2,zoo,1,1
23,7,monkeys,2,zoo,1,1
24,7,Bears,2,zoo,1,1
25,7,Bats,2,zoo,1,1
26,7,Geckos,2,zoo,1,1
27,7,Rattlesnake,2,zoo,1,1
28,7,king,2,zoo,1,1
29,7,cobra,2,zoo,1,1
30,7,Leopard,2,zoo,1,1
101,7,komodo dragon,2,zoo,3,2
102,7,bat,2,zoo,3,2
103,7,crocodile,2,zoo,3,2
104,7,snake,2,zoo,3,2
105,7,cheetah,2,zoo,3,2
106,7,leopard,2,zoo,3,2
107,7,tiger,2,zoo,3,2
108,7,lion,2,zoo,3,2
109,7,flamingo,2,zoo,3,2
110,7,gopher,2,zoo,3,2
111,7,turtle,2,zoo,3,2
112,7,bunny,2,zoo,3,2
113,7,Dormouse,2,zoo,3,2
114,7,rat,2,zoo,3,2
115,7,beaver,2,zoo,3,2
116,7,coyote,2,zoo,3,2
117,7,fox,2,zoo,3,2
46,8,Sharks,2,zoo,2,3
47,8,Elephants,2,zoo,2,3
48,8,Zebras,2,zoo,2,3
49,8,turtle,2,zoo,2,3
50,8,bunny,2,zoo,2,3
51,8,Yeah,2,zoo,2,3
52,8,Horse,2,zoo,2,3
53,8,Crocodiles,2,zoo,2,3
54,8,Seals,2,zoo,2,3
55,8,Paper towels,2,zoo,2,3
56,8,paper towels,2,zoo,2,3
57,8,Food,2,zoo,2,3
58,8,guinea pigs,2,zoo,2,3
59,8,good job,2,zoo,2,3
87,8,Zebras,2,zoo,4,4
88,8,Turtles,2,zoo,4,4
89,8,Seals,2,zoo,4,4
90,8,Crocodiles,2,zoo,4,4
91,8,Lions,2,zoo,4,4
92,8,Tigers,2,zoo,4,4
93,8,Zebras,2,zoo,4,4
94,8,Elephant,2,zoo,4,4
95,8,Fish,2,zoo,4,4
96,8,Turtle,2,zoo,4,4
97,8,Fox,2,zoo,4,4
98,8,[unclear],2,zoo,4,4
49,9,Alligator,2,zoo,2,5
50,9,pig,2,zoo,2,5
51,9,peacock,2,zoo,2,5
52,9,crocodile,2,zoo,2,5
53,9,swine,2,zoo,2,5
54,9,parrot,2,zoo,2,5
55,9,hummingbird,2,zoo,2,5
56,9,goat,2,zoo,2,5
57,9,sheep,2,zoo,2,5
58,9,monkey,2,zoo,2,5
59,9,zoo,2,zoo,2,5
60,9,monkey,2,zoo,2,5
61,9,parrot,2,zoo,2,5
25,10,monkey,2,zoo,2,5
26,10,zoo,2,zoo,2,5
27,10,elephant,2,zoo,2,5
28,10,cheetah,2,zoo,2,5
29,10,tiger,2,zoo,2,5
30,10,lion,2,zoo,2,5
31,10,alligator,2,zoo,2,5
32,10,fox,2,zoo,2,5
33,10,chicken,2,zoo,2,5
34,10,crocodile,2,zoo,2,5
35,10,fish,2,zoo,2,5
36,10,Good,2,zoo,2,5
89,10,crocodiles,2,zoo,4,6
90,10,monkeys,2,zoo,4,6
91,10,alligator,2,zoo,4,6
92,10,horse,2,zoo,4,6
93,10,guinea,2,zoo,4,6
94,10,pig,2,zoo,4,6
95,10,monkey,2,zoo,4,6
96,10,chicken,2,zoo,4,6
45,11,Nature place,2,zoo,2,7
46,11,polar bear,2,zoo,2,7
47,11,penguins,2,zoo,2,7
48,11,giraffe,2,zoo,2,7
49,11,chickens,2,zoo,2,7
50,11,cow,2,zoo,2,7
51,11,monkey,2,zoo,2,7
52,11,Moose,2,zoo,2,7
53,11,Fox,2,zoo,2,7
54,11,flamingo,2,zoo,2,7
55,11,Elephant,2,zoo,2,7
56,11,leopard,2,zoo,2,7
57,11,Lion,2,zoo,2,7
58,11,Cheetah,2,zoo,2,7
59,11,Fish,2,zoo,2,7
60,11,goldfish,2,zoo,2,7
61,11,Salmon,2,zoo,2,7
104,11,Birds,2,zoo,4,8
105,11,flamingo,2,zoo,4,8
106,11,building,2,zoo,4,8
107,11,water,2,zoo,4,8
108,11,post,2,zoo,4,8
109,11,cars,2,zoo,4,8
110,11,parking garage,2,zoo,4,8
111,11,parking lot,2,zoo,4,8
112,11,trees,2,zoo,4,8
113,11,ice stuff,2,zoo,4,8
114,11,polar bears,2,zoo,4,8
115,11,penguins,2,zoo,4,8
116,11,lions,2,zoo,4,8
117,11,leopards,2,zoo,4,8
118,11,flamingo,2,zoo,4,8
119,11,elephant,2,zoo,4,8
120,11,blue sky,2,zoo,4,8
121,11,Clouds,2,zoo,4,8
122,11,Leaves,2,zoo,4,8
123,11,Sidewalk,2,zoo,4,8
124,11,Cages,2,zoo,4,8
125,11,Eyes,2,zoo,4,8
126,11,Arms,2,zoo,4,8
127,11,Giraffe,2,zoo,4,8
128,11,tree trunk,2,zoo,4,8
18,12,Monkey,2,zoo,2,9
19,12,Giraffe,2,zoo,2,9
20,12,Good,2,zoo,2,9
21,12,Elephant,2,zoo,2,9
22,12,Alligator,2,zoo,2,9
91,13,Lion,2,zoo,4,10
92,13,giraffes,2,zoo,4,10
93,13,Lion,2,zoo,4,10
94,13,zebras,2,zoo,4,10
95,13,Jaguars,2,zoo,4,10
96,13,Monkeys,2,zoo,4,10
97,13,Jaguars,2,zoo,4,10
98,13,jaguars,2,zoo,4,10
99,13,Cheetahs,2,zoo,4,10
100,13,Monkeys,2,zoo,4,10
101,13,Giraffes,2,zoo,4,10
6,14,Lions,2,zoo,1,11
7,14,Tigers,2,zoo,1,11
8,14,Elephants,2,zoo,1,11
9,14,Monkeys,2,zoo,1,11
10,14,Giraffes,2,zoo,1,11
11,14,Polar bears,2,zoo,1,11
12,14,Penguins,2,zoo,1,11
13,14,Cheetahs,2,zoo,1,11
14,14,Jaguars,2,zoo,1,11
15,14,Flamingos,2,zoo,1,11
16,14,chimpanzee,2,zoo,1,11
17,14,Parrot,2,zoo,1,11
94,14,lions,2,zoo,3,12
95,14,tigers,2,zoo,3,12
96,14,flamingos,2,zoo,3,12
97,14,monkeys,2,zoo,3,12
98,14,chimpanzee,2,zoo,3,12
99,14,giraffes,2,zoo,3,12
100,14,polar bears,2,zoo,3,12
101,14,penguins,2,zoo,3,12
102,14,fox,2,zoo,3,12
103,14,crocodile,2,zoo,3,12
104,14,alligator,2,zoo,3,12
105,14,bird,2,zoo,3,12
106,14,parrot,2,zoo,3,12
107,14,dog,2,zoo,3,12
108,14,dog,2,zoo,3,12
38,15,Dogs,2,zoo,3,12
39,15,Cats,2,zoo,3,12
40,15,Lions,2,zoo,3,12
41,15,Tigers,2,zoo,3,12
42,15,Farm animals,2,zoo,3,12
